District,Agency,Households,Women,Men
Bishnupur,Research and Development Initiative (RDI) Pvt. Ltd,907,1043,140
Chandel,Research and Development Initiative (RDI) Pvt. Ltd,847,757,105
Churachandpur,Research and Development Initiative (RDI) Pvt. Ltd,847,872,119
Imphal East,Research and Development Initiative (RDI) Pvt. Ltd,896,1021,161
Imphal West,Research and Development Initiative (RDI) Pvt. Ltd,885,893,129
Senapati,Research and Development Initiative (RDI) Pvt. Ltd,859,837,120
Tamenglong,Research and Development Initiative (RDI) Pvt. Ltd,882,839,133
Thoubal,Research and Development Initiative (RDI) Pvt. Ltd,893,1069,149
Ukhrul,Research and Development Initiative (RDI) Pvt. Ltd,865,711,106
