District,Agency,Households,Women,Men
Dadra & Nagar Haveli,Centre for Operations Research and Training (CORT),914,1002,174
Daman,Centre for Operations Research and Training (CORT),851,733,152
Diu,Centre for Operations Research and Training (CORT),911,978,101
