District,Agency,Households,Women,Men
Aizawl,IQVIA Consulting and Information Services India Pvt. Ltd,876,894,115
Champhai,IQVIA Consulting and Information Services India Pvt. Ltd,902,806,150
Kolasib,IQVIA Consulting and Information Services India Pvt. Ltd,918,926,145
Lawngtlai,IQVIA Consulting and Information Services India Pvt. Ltd,923,975,153
Lunglei,IQVIA Consulting and Information Services India Pvt. Ltd,915,973,128
Mamit,IQVIA Consulting and Information Services India Pvt. Ltd,917,898,146
Saiha,IQVIA Consulting and Information Services India Pvt. Ltd,891,890,134
Serchhip,IQVIA Consulting and Information Services India Pvt. Ltd,915,917,134
