District,Agency,Households,Women,Men
Karaikal,"School of Public Health, SRM University",863,890,113
Mahe,"School of Public Health, SRM University",893,981,154
Puducherry,"School of Public Health, SRM University",845,830,110
Yanam,"School of Public Health, SRM University",919,968,157
