,District,Agency,Households,Women,Men
0,Nicobar,Sigma Research and Consulting Pvt. Ltd,882,764,125
1,North & Middle Andaman,Sigma Research and Consulting Pvt. Ltd,874,789,108
2,South Andaman,Sigma Research and Consulting Pvt. Ltd,868,844,134
